1,59832432
2,68727007
3,84126559
4,88028614
5,106798913
6,116806052
7,116201586
8,61627436
9,80596102
10,87376160
11,74128665
12,76384870
13,59163840
14,64667468
15,75259960
16,86660844
17,99679555
18,115365778
19,108561132
20,55213584
21,93779894
22,81713811
23,80030855
24,75063042
25,63335875
26,64486104
27,87877077
28,91154166
29,105468418
30,116863150
31,89386738
32,73699601
33,97654393
34,85334611
35,80859020
36,93530185
37,40914893
38,68077231
39,81200746
40,82443643
41,92511113
42,104652765
43,54489655
44,99977203
45,93054507
46,75349679
47,67696034
48,64944154
49,56864523
50,58901848
51,73276957
52,79806180
53,92897565
54,107218153
55,45084054
56,97621205
57,97708872
58,91207167
59,63310816
60,85736906
